위도,경도,기관명
35.85784285,128.5376895,죽전한의원
35.81363969,128.5238681,진산한의원
35.81334272,128.527872,진천이석한의원
35.81404722,128.5254864,진천최한의원
35.81646383,128.5211201,진천한의원
35.83161796,128.5307715,진한의원
35.8555926,128.5449927,차오름한의원
35.8153036,128.5205482,참바른한의원
35.84660805,128.5264656,청담한의원
35.81266296,128.5448312,청도한의원
35.84373868,128.5413357,최한의원
35.83520789,128.5342378,춘수한의원
35.8501251,128.5301312,코끼리한의원
35.8166038,128.5225442,태림한의원
35.85508431,128.5024963,태백한의원
35.85429105,128.545792,태인한의원
35.82464895,128.5291202,태한한의원
35.82692745,128.5315813,태화한의원
35.80965517,128.5135954,편한세상한의원
35.85515612,128.5047111,푸른맘한의원
35.84934214,128.5339233,한마음정안한의원
35.81910034,128.5404376,해인한의원
35.83192291,128.5331421,해조한의원
35.81296242,128.5095224,혜민당한의원
35.82531787,128.5266344,호랑이한의원
35.84587054,128.5442728,황성준한의원
35.8548693,128.5086489,365상쾌한속연합내과의원
35.8326971,128.5482863,365열린우리의원
35.82488853,128.5460438,365열린종합내과의원
35.83547125,128.5556136,가톨릭서부내과의원
35.85512544,128.5055745,가톨릭안과의원
35.81670315,128.5322987,가톨릭연합내과의원
35.82875788,128.5494129,가톨릭연합정형외과의원
35.85667206,128.5552747,가톨릭이비인후과의원
35.82438159,128.5243262,건강한속내과의원
35.8262217,128.5292076,경대리즈유외과의원
35.8195135,128.5387583,경대연합안과의원
35.84373028,128.545177,경대연합진내과의원
35.81449849,128.5274038,경대연합팔팔한속내과의원
35.81910639,128.5370845,경대제이정신건강의학과의원
35.825673,128.5297384,경대최강마취통증의학과의원
35.843344,128.536751,경대케이속내과의원
35.82584429,128.5278554,경대탑내과의원
35.85943711,128.5634321,경일신경과내과의원
35.82993396,128.5504283,고성만내과의원
35.85587979,128.5531323,곽신일이비인후과의원
35.85667206,128.5552747,광장신경외과의원
35.85572805,128.5528102,광장피부과의원
35.81391552,128.5246888,구순정산부인과의원
35.82567385,128.5297136,구자섭정신건강의학과의원
35.81502563,128.5284586,굿모닝이비인후과의원
35.83100789,128.5520959,권석룡내과의원
35.850369,128.536089,권선미유외과의원
35.81839219,128.5395696,권이비인후과의원
35.85015341,128.5339066,그랜드미래흉부외과의원
35.82625298,128.5291972,그루메디신경외과의원
35.82625298,128.5291972,그린셀의원
35.857011,128.555965,김경식정신건강의학과의원
35.84334869,128.5378682,김교선내과의원
35.85549061,128.5213207,김기윤내과의원
35.84934214,128.5339233,김대혁정신건강의학과의원
35.84955946,128.5357182,김도훈정신건강의학과의원
35.80717774,128.5359638,김동환내과의원
35.8115427,128.5374207,김무원내과의원
35.85693505,128.4996183,김부선이비인후과의원
35.8549399,128.5046876,김석재내과의원
35.83673875,128.556342,김성수신경과의원
35.82492049,128.5469405,김신경과의원
35.81467632,128.5480431,김앤박연합정형외과의원
35.8578036,128.5303153,김이근내과의원
35.86170457,128.5718633,김종식산부인과의원
35.8142425,128.5261738,김진성정신건강의학과의원
35.82988503,128.5512691,김창원이비인후과의원
35.8583149,128.5308723,김태형피부과의원
35.81821486,128.5409185,김필영 내과의원
35.83680122,128.5564752,김희택이비인후과의원
35.82488853,128.5460438,나라신경외과의원
35.83157509,128.5323097,나문주종합의원
35.8501251,128.5301312,나사렛연합내과의원
35.8537866,128.5477038,남내과의원
35.85401876,128.5540605,남윤덕가정의학과의원
35.81670315,128.5322987,내눈에꽃의원
35.82418426,128.5261621,내안에유산부인과의원
35.82555017,128.5271008,네오미피부과의원
35.8161761,128.5314566,뉴스템연합의원
35.81414241,128.5222669,늘편한신내과의원
35.8450523,128.5368192,늘행복정신건강의학과의원
35.84928268,128.5351296,다나연합내과의원
35.84373733,128.5456088,다나을의원
