연번,업소명,업태,업소주소
275,긴잔,한식,"대구광역시 중구 국채보상로 560-1(종로1가, 지상1층)"
276,긴타로(동성로점),일식,"대구광역시 중구 공평로8길 46(삼덕동2가, 지상1층)"
277,길식당,한식,대구광역시 중구 국채보상로150길 18(지상1층 동인동4가)
278,길영LP음악카페,경양식,"대구광역시 중구 달구벌대로450길 18(대봉동, 지상2층)"
279,길촌,한식,대구광역시 중구 동성로6길 42-10(공평동)
280,길카페,경양식,"대구광역시 중구 북성로 104(북성로1가, 지상1층)"
281,김가,기타,대구광역시 중구 동덕로30길 67(1층 동인동4가)
282,김민성아임넙띠기돈까스,경양식,대구광역시 중구 공평로8길 55(삼덕동2가)
283,김밥 까페 진,김밥(도시락),"대구광역시 중구 달구벌대로447길 77(삼덕동3가, 삼덕청아람리슈빌 202동 102호)"
284,김밥가게 반월당,김밥(도시락),대구광역시 중구 남성로 60-1(1층 동성로3가)
285,김밥아즈망,김밥(도시락),대구광역시 중구 서성로16길 35(1층 북성로2가)
286,김밥짱팩토리,김밥(도시락),대구광역시 중구 달구벌대로 2109-35(동성로3가)
287,김밥천국,김밥(도시락),"대구광역시 중구 달구벌대로 2100(덕산동, 메트로센타S-110)"
288,김서현의약선보리밥 본점,한식,대구광역시 중구 달구벌대로 지하 2100(반월당역 지하 1층 S101호 덕산동)
289,김스타치킨 남문시장점,호프/통닭,"대구광역시 중구 중앙대로 317(남산동, 지상1층)"
290,김임용선산곱창,한식,"대구광역시 중구 대봉로43길 21(401동 105호 대봉동, 더샵 리비테르 1차)"
291,김종구식맛치킨·전기바베큐 옛날통닭 대구남산점,호프/통닭,"대구광역시 중구 남산로 73(301동 119호 남산동, 청라힐스자이)"
292,김충기꽃삼겹대구중구점,식육(숯불구이),"대구광역시 중구 국채보상로131길 55(101동 상가 2호 동인동1가, 시티타운아파트)"
293,김해뒷고기,식육(숯불구이),대구광역시 중구 대봉로 196(1층 대봉동)
294,김해통닭,호프/통닭,"대구광역시 중구 국채보상로 749(동인동4가, 동부아파트상가 B동 135호,136호)"
295,김해통닭,호프/통닭,"대구광역시 중구 국채보상로151길 10(1층 동인동4가, 동부시장 3호, 4호)"
296,까르보나라의돈까스,경양식,"대구광역시 중구 남성로 18(남성로, 지상2층)"
297,까멜리아,한식,"대구광역시 중구 달구벌대로450길 10-7(1,2층 대봉동)"
298,까몬,"외국음식전문점(인도,태국등)","대구광역시 중구 종로 19(종로2가, 지상1층)"
299,까미노,경양식,"대구광역시 중구 경상감영길 201(동문동, 지상1층)"
300,까사넬로(Casanello),기타,"대구광역시 중구 교동1길 47(1,2층 동문동)"
301,까오,일식,대구광역시 중구 달구벌대로 2125-5(지상 1층 봉산동)
302,까치방,한식,대구광역시 중구 서성로14길 106(향촌동)
303,까치방식당,분식,대구광역시 중구 중앙대로 439(향촌동)
304,까페만권당,기타,대구광역시 중구 달성로22길 31-12(2층 수창동)
305,꺼비슈퍼,분식,대구광역시 중구 중앙대로79길 16(남일동)
306,꼬장,분식,대구광역시 중구 중앙대로81길 31(2층 종로2가)
307,꼬치요,경양식,대구광역시 중구 동성로12길 53(문화동)
308,꼼대장,경양식,"대구광역시 중구 대봉로 198(대봉동, 지상1층)"
309,꽁지김밥 홍세선인,김밥(도시락),"대구광역시 중구 국채보상로 749(A동 78호, 79호 동인동4가, 동부상가아파트)"
310,꽃님생고기,한식,"대구광역시 중구 국채보상로150길 75-10(삼덕동3가, 지상1층)"
311,꽃뚜껑,식육(숯불구이),대구광역시 중구 중앙대로81길 11(동일동)
312,꽃밭,,대구광역시 중구 동성로4길 20-13(삼덕동1가)
313,꽃집,경양식,대구광역시 중구 동성로4길 40-8(삼덕동1가)
314,뀌베,경양식,"대구광역시 중구 동성로3길 12-3(삼덕동1가, 지상1층)"
315,끄티집,한식,대구광역시 중구 달구벌대로 2143(삼덕동1가)
316,끝돈 대구종로점,한식,"대구광역시 중구 종로 38-1(1, 2, 3층 종로2가)"
317,끼니위드,한식,대구광역시 중구 중앙대로 379(지상 1~2층 동성로3가)
318,나드리김밥남산점,김밥(도시락),"대구광역시 중구 달구벌대로 1950(106동 105호 남산동, 남산그린타운)"
319,나드리김밥천국대봉점,김밥(도시락),대구광역시 중구 대봉로 248(대봉동)
320,나들이식당,한식,"대구광역시 중구 명륜로22길 5(남산동, 지상1층)"
321,나무가,기타,대구광역시 중구 달구벌대로446길 5(대봉동)
322,나발,경양식,대구광역시 중구 달구벌대로446길 23-7(지상1층 대봉동)
